Start Zone,End Zone,Start Time,Efficency,Speed Scale
2,5,18:20,10,0
2,3,22:23,3,7
3,5,06:04,1,9
5,2,07:18,9,1
1,5,16:29,8,2
4,3,11:00,6,4
2,1,13:20,6,4
2,5,04:10,10,0
4,5,06:41,1,9
5,1,02:49,7,3
2,5,07:02,2,8
4,2,09:17,1,9
5,3,00:31,8,2
2,3,01:12,8,2
3,1,03:51,3,7
5,3,21:40,10,0
2,1,17:27,7,3
4,3,23:29,4,6
5,1,13:24,10,0
2,1,04:38,1,9
5,1,04:10,9,1
2,4,08:43,2,8
4,1,17:02,9,1
2,1,23:52,9,1
3,2,07:42,5,5
1,2,05:25,2,8
2,4,19:51,10,0
3,4,02:46,10,0
5,4,12:00,5,5
3,1,21:39,8,2
2,1,10:26,10,0
5,2,08:57,7,3
3,5,21:39,3,7
4,3,23:30,8,2
1,4,01:16,8,2
3,4,16:29,9,1
5,1,06:33,2,8
3,4,07:10,10,0
3,1,19:57,6,4
2,4,05:32,6,4
3,1,18:14,1,9
4,3,15:58,6,4
5,2,02:52,5,5
4,3,04:02,5,5
4,1,13:37,8,2
3,4,11:30,7,3
2,3,19:15,5,5
5,4,17:09,1,9
2,3,13:50,4,6
2,1,11:21,7,3
4,5,20:59,2,8
5,2,13:18,6,4
4,5,09:28,9,1
2,3,04:59,1,9
5,2,05:17,3,7
4,1,18:39,3,7
3,5,06:01,6,4
4,1,14:25,2,8
1,2,07:27,7,3
5,1,09:15,2,8
4,3,07:06,5,5
2,5,09:31,10,0
3,4,17:43,7,3
3,2,01:01,5,5
5,2,16:51,9,1
4,2,16:46,4,6
4,3,06:46,9,1
5,3,03:34,6,4
3,1,04:12,2,8
4,5,17:12,4,6
4,5,06:17,8,2
2,4,14:01,1,9
5,3,01:13,10,0
1,5,04:34,10,0
2,3,18:48,9,1
2,1,22:50,8,2
1,5,13:35,6,4
1,2,04:46,8,2
4,5,11:01,3,7
3,5,11:19,3,7
5,3,12:29,4,6
2,4,18:26,5,5
3,1,07:00,8,2
3,4,12:17,3,7
2,3,04:22,4,6
5,4,05:47,2,8
2,1,10:12,1,9
5,2,02:31,6,4
3,5,00:37,7,3
4,1,15:10,5,5
5,4,13:55,4,6
2,1,08:26,6,4
4,5,23:54,7,3
5,1,08:08,8,2
2,4,04:21,9,1
3,1,01:15,10,0
4,3,04:35,5,5
1,5,09:54,5,5
2,3,13:58,2,8
2,1,05:27,5,5
1,5,05:53,6,4
4,3,06:30,3,7
5,2,14:44,9,1
2,1,22:04,3,7
2,5,11:54,10,0
1,2,06:01,4,6
4,3,01:07,7,3
1,2,12:44,4,6
3,5,20:14,10,0
5,2,16:22,1,9
1,3,13:59,10,0
3,1,02:05,2,8
3,1,22:01,8,2
4,2,16:50,7,3
3,1,00:57,6,4
3,2,04:43,9,1
3,4,03:08,1,9
1,4,10:50,4,6
1,2,22:35,6,4
1,3,07:33,1,9
4,2,20:46,10,0
3,4,21:27,6,4
3,5,22:03,2,8
2,5,21:54,7,3
4,3,12:05,3,7
2,4,05:43,7,3
4,5,21:29,10,0
5,1,03:12,10,0
5,4,04:31,3,7
3,4,08:20,5,5
5,2,01:01,10,0
2,4,01:16,4,6
2,3,15:37,8,2
2,4,23:46,8,2
3,5,12:49,2,8
5,1,19:58,1,9
3,2,13:39,8,2
3,2,18:30,4,6
3,1,17:20,4,6
1,4,14:07,6,4
5,3,15:40,1,9
4,3,22:34,3,7
1,5,08:02,7,3
3,2,08:35,6,4
2,3,09:13,7,3
5,1,05:00,1,9
3,4,19:42,3,7
1,2,03:15,6,4
5,2,21:41,7,3
4,1,12:08,6,4
4,5,05:38,6,4
3,4,23:30,7,3
2,5,22:11,10,0
4,3,12:15,1,9
5,4,05:27,7,3
3,5,10:39,2,8
3,1,03:17,7,3
2,5,11:49,7,3
3,4,03:11,2,8
1,4,11:53,7,3
3,1,03:45,9,1
5,1,22:03,2,8
4,2,18:49,3,7
1,4,19:16,3,7
3,4,02:21,8,2
1,2,00:55,4,6
5,1,14:19,10,0
3,2,20:21,5,5
2,1,20:15,9,1
2,1,18:25,2,8
1,2,19:25,9,1
4,1,02:07,9,1
4,3,08:35,4,6
2,4,23:18,8,2
5,1,19:54,2,8
2,3,01:12,7,3
3,1,23:42,2,8
2,5,11:12,6,4
3,2,02:44,5,5
3,5,17:57,6,4
5,1,11:39,2,8
5,3,10:36,2,8
3,1,11:55,3,7
4,3,21:32,1,9
1,3,01:54,6,4
1,3,20:57,5,5
5,4,20:44,3,7
5,2,03:30,1,9
4,1,02:13,5,5
5,3,19:25,9,1
4,2,07:10,10,0
3,4,16:55,3,7
3,5,15:22,2,8
4,5,11:17,2,8
5,2,04:44,6,4
3,5,19:18,4,6
4,1,00:56,2,8
4,2,05:50,9,1
2,5,06:33,3,7
3,1,00:30,5,5
2,5,12:44,2,8
2,4,15:50,1,9
4,5,10:05,9,1
5,3,07:53,2,8
4,1,10:17,1,9
4,3,04:42,4,6
1,2,22:13,7,3
2,3,12:05,4,6
1,4,08:53,4,6
2,5,02:28,2,8
3,4,01:16,1,9
4,5,09:07,3,7
4,1,10:45,5,5
4,3,06:31,2,8
1,5,05:35,1,9
5,3,07:54,7,3
3,4,17:25,10,0
4,1,05:18,2,8
2,4,19:11,1,9
5,3,16:42,1,9
2,5,13:10,9,1
5,1,10:38,3,7
2,3,04:35,10,0
5,3,11:45,3,7
2,4,12:10,3,7
4,1,18:56,6,4
4,5,16:48,2,8
3,2,19:48,9,1
5,3,10:09,1,9
5,4,13:52,6,4
4,1,14:52,8,2
3,2,04:37,10,0
4,5,08:31,4,6
3,5,03:21,4,6
1,4,05:00,6,4
4,5,03:53,2,8
2,4,10:23,4,6
2,4,11:23,4,6
5,3,11:09,9,1
4,3,14:07,4,6
3,4,14:27,2,8
2,3,08:16,9,1
2,5,20:40,9,1
5,1,04:40,8,2
1,2,07:10,5,5
4,3,23:15,2,8
2,1,09:25,1,9
1,4,14:02,3,7
2,1,15:07,3,7
5,3,15:57,8,2
1,3,11:49,3,7
5,1,10:07,7,3
3,5,20:38,5,5
4,2,00:02,6,4
3,2,13:25,6,4
2,5,17:38,6,4
1,5,18:30,2,8
5,3,23:34,4,6
2,1,13:12,3,7
1,4,03:07,8,2
4,5,11:46,9,1
4,3,13:01,6,4
3,1,23:39,6,4
4,1,17:29,5,5
2,3,14:38,6,4
2,3,00:59,6,4
5,2,11:11,8,2
4,2,01:57,4,6
5,3,11:06,3,7
3,4,01:32,6,4
1,3,08:16,10,0
4,3,05:39,8,2
4,3,16:17,4,6
5,1,17:15,4,6
2,4,23:48,5,5
2,1,06:01,8,2
4,1,14:20,9,1
2,3,23:08,10,0
1,4,15:37,8,2
4,5,08:29,2,8
3,2,05:41,8,2
5,2,07:16,4,6
3,5,01:11,2,8
4,1,05:17,5,5
5,2,22:10,3,7
4,2,22:56,4,6
5,2,13:04,6,4
4,5,05:47,9,1
1,5,03:01,8,2
5,4,05:32,3,7
2,4,09:56,8,2
4,5,04:15,10,0
5,3,19:20,1,9
1,5,14:39,4,6
4,1,02:53,2,8
3,2,22:46,10,0
3,2,17:35,7,3
2,4,21:08,8,2
3,5,16:36,9,1
3,5,22:45,5,5
4,1,08:52,2,8
1,4,02:57,6,4
2,4,05:57,9,1
4,5,05:17,4,6
1,4,23:46,8,2
2,3,02:51,4,6
5,2,19:48,10,0
4,2,00:32,1,9
5,4,23:02,8,2
1,4,16:53,1,9
2,4,18:02,5,5
1,3,01:10,4,6
1,3,19:15,9,1
2,5,02:13,6,4
4,2,01:46,6,4
2,4,06:06,3,7
5,1,03:33,7,3
2,5,14:43,7,3
2,5,16:35,7,3
4,1,22:18,1,9
4,1,03:21,7,3
5,2,12:46,6,4
2,3,08:54,9,1
3,2,20:17,6,4
2,4,23:25,4,6
3,2,08:28,7,3
1,5,00:55,8,2
2,3,02:20,10,0
5,3,06:55,8,2
5,2,01:04,1,9
1,4,18:39,7,3
4,3,04:20,6,4
4,1,04:07,9,1
1,4,17:50,7,3
1,4,19:29,1,9
1,5,12:08,2,8
2,4,08:31,2,8
5,1,17:45,10,0
1,3,17:07,4,6
5,1,20:47,5,5
4,3,05:07,6,4
1,5,07:28,7,3
2,4,12:41,5,5
5,2,07:08,7,3
5,1,15:49,5,5
5,4,08:11,8,2
4,5,10:39,8,2
1,4,15:51,1,9
4,1,18:15,8,2
2,3,03:38,9,1
4,1,21:41,2,8
5,2,12:37,8,2
1,3,10:34,2,8
4,1,08:37,9,1
4,3,03:33,6,4
4,2,03:03,10,0
3,4,02:53,2,8
5,3,16:32,5,5
3,5,23:21,8,2
2,4,00:07,3,7
3,5,04:19,3,7
2,4,17:39,6,4
2,1,10:57,4,6
2,3,03:03,10,0
5,4,21:38,2,8
2,3,08:16,2,8
3,4,12:37,4,6
4,1,21:04,10,0
2,4,04:34,6,4
5,3,07:15,2,8
2,1,00:44,9,1
3,2,20:14,1,9
1,3,18:31,3,7
2,4,21:52,8,2
5,2,23:49,2,8
1,3,10:01,4,6
1,2,19:52,3,7
2,4,21:29,3,7
5,4,18:34,9,1
5,3,21:11,3,7
2,3,21:47,8,2
4,3,02:43,1,9
5,2,20:20,7,3
3,4,03:17,6,4
5,2,01:01,8,2
1,2,00:22,10,0
3,5,17:58,10,0
4,2,17:34,9,1
3,5,14:44,2,8
1,2,16:37,6,4
5,3,19:49,8,2
3,1,20:31,6,4
2,3,05:53,1,9
3,2,19:28,1,9
5,3,15:28,6,4
4,1,15:42,6,4
3,5,20:36,10,0
4,1,17:20,7,3
2,3,22:24,3,7
4,3,03:40,3,7
1,4,04:46,9,1
2,3,14:05,2,8
2,1,10:36,4,6
1,3,05:06,5,5
3,1,07:43,2,8
3,5,03:38,6,4
1,2,09:22,6,4
1,2,15:36,1,9
1,4,18:36,4,6
3,2,01:17,1,9
5,3,13:44,3,7
5,3,21:25,6,4
4,1,01:37,7,3
3,4,08:44,5,5
4,2,02:38,1,9
5,2,12:34,8,2
1,4,12:59,9,1
2,1,17:22,9,1
4,5,02:42,8,2
1,4,11:38,10,0
3,5,19:25,8,2
1,2,22:12,6,4
3,2,08:47,2,8
3,5,04:28,7,3
5,2,23:59,4,6
5,3,23:52,1,9
3,5,04:27,3,7
5,4,09:47,6,4
4,5,17:11,6,4
2,4,23:08,7,3
4,5,18:40,9,1
2,5,20:38,7,3
2,1,05:51,1,9
2,3,13:02,3,7
2,5,03:23,7,3
4,3,19:12,9,1
5,4,07:06,10,0
3,1,18:46,4,6
5,1,12:10,10,0
3,1,01:13,3,7
3,4,20:56,5,5
4,1,18:23,9,1
5,3,23:12,4,6
1,3,22:12,3,7
1,3,04:28,7,3
1,4,17:20,2,8
3,2,12:01,9,1
5,2,02:59,6,4
1,2,11:49,2,8
3,1,13:57,3,7
3,2,22:36,7,3
5,1,11:46,4,6
5,3,19:06,1,9
4,2,20:32,5,5
1,5,21:49,5,5
3,5,12:59,9,1
5,2,17:19,8,2
1,3,11:30,10,0
2,3,12:00,5,5
4,3,11:20,10,0
4,2,03:05,7,3
2,1,05:37,7,3
4,5,08:13,6,4
5,2,03:11,8,2
4,3,01:31,8,2
3,4,00:42,10,0
1,2,05:56,9,1
1,5,22:47,2,8
2,5,07:23,8,2
1,4,11:39,3,7
2,1,01:11,10,0
2,3,10:46,2,8
1,3,03:58,10,0
4,3,21:08,10,0
3,2,10:40,10,0
4,3,15:48,9,1
3,2,23:41,9,1
3,5,13:22,1,9
4,2,22:00,3,7
3,1,06:08,4,6
2,3,09:10,10,0
2,1,01:53,6,4
3,5,20:43,2,8
3,2,17:26,2,8
2,1,01:30,10,0
4,1,00:46,4,6
1,4,05:06,6,4
4,2,05:32,9,1
4,2,04:46,1,9
5,1,03:31,10,0
5,1,23:36,8,2
2,1,00:38,4,6
2,4,14:56,10,0
5,2,02:37,1,9
3,4,21:14,10,0
3,5,07:17,7,3
3,4,23:20,4,6
2,5,03:16,2,8
4,2,14:13,9,1
3,5,20:32,4,6
4,1,03:51,2,8
2,5,05:47,2,8
5,1,01:34,8,2
4,1,09:30,6,4
4,2,08:54,4,6
3,4,08:57,7,3
2,5,06:50,3,7
4,2,15:36,10,0
2,4,21:42,5,5
5,2,05:53,9,1
5,1,02:54,3,7
2,5,09:49,8,2
4,1,18:04,8,2
3,5,18:40,8,2
2,3,08:06,8,2
4,3,10:06,7,3
2,1,18:39,4,6
1,2,02:05,6,4
3,4,09:27,3,7
5,1,15:21,10,0
1,3,09:19,9,1
1,3,03:00,1,9
5,1,19:56,3,7
4,1,03:52,1,9
4,3,21:51,9,1
1,4,22:03,5,5
3,1,22:52,1,9
3,2,15:31,7,3
5,4,05:15,10,0
3,5,01:16,5,5
1,4,01:49,3,7
5,4,13:05,2,8
2,3,08:56,2,8
3,2,00:49,6,4
5,1,09:21,3,7
3,2,14:57,4,6
2,3,02:34,4,6
2,5,23:20,10,0
4,5,10:45,2,8
3,1,09:34,3,7
1,3,06:46,4,6
4,3,20:56,3,7
2,1,10:18,6,4
3,4,19:40,2,8
5,3,03:31,6,4
2,1,17:20,6,4
4,3,12:39,9,1
3,4,21:05,4,6
4,2,05:57,7,3
4,5,06:45,5,5
4,3,20:22,7,3
5,4,17:40,6,4
3,1,01:56,10,0
4,1,15:16,10,0
4,1,07:54,4,6
4,3,20:14,5,5
4,3,02:32,4,6
5,2,05:04,10,0
5,1,23:23,1,9
1,2,21:11,8,2
1,5,07:11,2,8
5,3,07:34,4,6
2,4,21:40,2,8
2,4,19:25,7,3
4,2,16:35,8,2
4,5,17:07,2,8
1,3,20:30,4,6
2,5,05:58,10,0
2,1,17:56,1,9
5,3,01:48,9,1
2,5,13:02,2,8
3,2,09:45,9,1
5,4,20:26,9,1
3,1,00:20,10,0
5,1,09:04,9,1
2,1,00:48,7,3
1,2,11:09,7,3
2,1,23:20,6,4
1,2,13:24,1,9
2,4,00:36,6,4
4,5,18:24,4,6
1,4,13:56,7,3
2,3,16:07,9,1
4,2,14:34,10,0
3,5,12:22,2,8
3,2,20:20,4,6
3,2,18:12,1,9
2,3,02:31,5,5
3,1,23:04,7,3
1,4,18:40,10,0
5,2,18:23,6,4
3,5,18:25,3,7
1,5,04:37,4,6
2,5,10:47,1,9
1,2,17:40,1,9
2,4,06:25,4,6
4,1,07:16,6,4
4,1,19:06,6,4
2,1,01:09,8,2
3,5,10:28,3,7
4,2,21:24,7,3
5,3,03:23,9,1
1,5,08:03,9,1
5,3,21:01,9,1
3,4,10:41,5,5
1,5,03:53,6,4
3,4,22:47,4,6
5,4,04:33,7,3
1,5,00:15,10,0
5,3,09:14,8,2
5,1,01:30,8,2
4,3,01:05,6,4
4,3,16:29,5,5
3,2,16:45,2,8
2,4,08:54,10,0
1,5,04:36,3,7
1,3,14:06,4,6
4,1,05:05,5,5
2,3,00:51,1,9
4,1,09:15,10,0
1,2,07:25,3,7
1,5,12:59,1,9
5,3,19:55,5,5
3,4,14:44,4,6
3,1,22:34,2,8
1,2,09:28,7,3
1,4,09:51,8,2
4,5,19:30,9,1
4,1,23:34,3,7
5,1,05:57,9,1
2,5,02:25,7,3
4,5,02:00,3,7
4,1,10:50,5,5
4,5,04:42,7,3
4,1,15:10,4,6
2,5,01:18,7,3
5,2,16:44,6,4
4,2,19:59,4,6
5,3,09:56,1,9
5,3,03:02,8,2
4,3,20:51,8,2
4,3,09:45,1,9
2,4,08:55,5,5
1,2,11:06,5,5
1,5,06:57,10,0
3,1,08:54,6,4
3,2,02:51,9,1
2,4,07:43,2,8
2,4,21:03,8,2
1,2,04:38,2,8
5,1,06:30,4,6
5,1,04:30,6,4
4,5,09:52,10,0
3,5,04:26,4,6
5,1,09:35,8,2
5,4,04:54,5,5
4,5,13:12,7,3
5,3,05:42,4,6
5,2,06:00,3,7
2,4,07:43,10,0
2,3,00:25,10,0
3,4,10:46,6,4
4,2,22:15,5,5
3,1,22:33,9,1
2,3,18:59,3,7
3,5,16:26,3,7
1,2,14:28,4,6
5,2,13:00,8,2
5,1,04:17,6,4
1,3,17:40,8,2
5,2,17:14,5,5
2,3,16:31,3,7
2,5,02:36,1,9
3,4,01:21,7,3
1,4,04:21,9,1
1,5,15:00,5,5
5,2,14:32,9,1
2,1,17:04,2,8
4,2,17:27,8,2
1,5,17:47,3,7
1,3,16:51,5,5
5,1,23:38,10,0
4,2,20:32,4,6
2,1,19:11,8,2
2,1,03:16,3,7
4,5,10:36,1,9
4,3,14:09,8,2
1,5,11:43,5,5
3,4,04:41,3,7
1,2,14:55,3,7
3,5,13:47,3,7
3,1,17:39,7,3
5,3,13:15,8,2
2,1,01:05,3,7
4,3,13:01,1,9
3,2,03:04,1,9
4,3,14:48,2,8
3,5,23:51,7,3
3,5,20:03,2,8
5,2,01:11,9,1
1,3,08:35,5,5
3,2,18:44,1,9
4,3,04:52,5,5
3,2,06:25,10,0
4,5,00:43,8,2
1,2,22:41,2,8
1,2,05:27,8,2
3,2,01:26,8,2
3,2,11:08,1,9
1,3,18:49,5,5
2,5,14:37,9,1
2,4,18:40,1,9
4,3,16:02,2,8
3,1,16:52,6,4
5,4,11:07,1,9
3,2,03:54,3,7
3,2,16:54,2,8
3,2,14:40,2,8
5,4,16:00,10,0
2,3,00:47,2,8
4,1,06:20,5,5
2,4,22:24,10,0
3,2,15:47,3,7
1,5,10:16,7,3
3,4,09:37,8,2
4,2,07:05,10,0
2,3,10:57,2,8
5,1,19:36,6,4
3,2,03:12,4,6
3,5,12:40,8,2
5,2,16:13,6,4
5,3,16:17,1,9
3,2,12:14,4,6
1,2,02:25,6,4
2,3,01:50,5,5
3,2,12:43,6,4
1,2,16:07,7,3
2,5,12:16,7,3
2,5,17:44,2,8
1,2,10:02,3,7
5,4,15:48,6,4
3,4,09:16,7,3
4,2,04:37,10,0
1,3,14:29,2,8
5,2,17:11,7,3
3,1,20:02,2,8
2,3,07:01,2,8
4,1,14:40,7,3
3,2,04:12,6,4
5,3,08:35,6,4
1,3,02:38,2,8
3,5,19:11,3,7
2,5,22:03,3,7
5,4,07:04,2,8
2,4,17:33,5,5
4,3,17:33,7,3
1,5,01:45,4,6
5,3,20:11,8,2
3,2,15:19,2,8
1,2,06:13,10,0
5,4,04:32,5,5
4,2,22:04,7,3
4,1,06:22,3,7
4,2,23:42,2,8
2,5,16:43,3,7
1,3,10:15,4,6
2,5,02:33,10,0
3,4,09:21,3,7
4,2,23:15,6,4
2,5,21:31,8,2
3,5,18:24,10,0
4,3,09:05,2,8
5,3,01:55,7,3
2,1,18:50,8,2
5,1,13:31,2,8
5,2,08:01,4,6
2,4,14:03,9,1
4,1,07:53,4,6
4,5,11:27,6,4
1,2,00:38,3,7
3,2,04:24,10,0
5,1,03:00,1,9
1,2,14:34,4,6
5,1,08:24,7,3
3,5,02:32,6,4
3,4,19:58,6,4
2,4,03:24,8,2
5,1,20:26,2,8
2,4,09:23,5,5
5,3,20:30,8,2
5,3,07:04,7,3
2,3,04:21,2,8
1,4,11:36,4,6
1,5,12:29,8,2
2,1,20:49,9,1
5,2,17:20,4,6
3,2,07:12,10,0
2,3,09:08,6,4
5,3,02:52,8,2
1,3,06:12,10,0
1,3,20:32,8,2
4,5,21:24,3,7
1,5,18:50,9,1
1,4,06:54,5,5
1,4,16:23,2,8
1,2,16:34,2,8
2,3,14:03,5,5
3,2,23:39,8,2
3,2,00:36,1,9
2,1,20:07,8,2
2,4,14:22,10,0
3,1,19:02,3,7
4,5,06:46,6,4
3,4,20:06,4,6
5,2,22:46,4,6
3,1,16:33,10,0
1,5,12:23,7,3
4,5,22:09,7,3
5,2,22:55,6,4
1,4,04:18,10,0
1,3,17:19,8,2
1,3,16:45,2,8
4,2,04:51,3,7
3,4,20:23,2,8
4,1,13:21,7,3
1,4,09:47,4,6
5,2,23:30,2,8
5,3,20:05,2,8
5,2,09:50,7,3
2,1,19:05,8,2
1,2,02:08,3,7
5,2,18:14,10,0
4,5,04:26,2,8
1,5,07:16,6,4
2,5,11:35,3,7
1,2,03:43,5,5
3,5,11:37,2,8
5,4,11:53,3,7
1,5,07:02,9,1
2,5,11:05,4,6
2,5,20:30,10,0
1,2,03:23,9,1
1,5,06:10,8,2
1,4,01:24,1,9
4,5,03:48,2,8
1,5,19:16,5,5
4,1,21:25,2,8
2,4,07:45,10,0
5,4,13:06,9,1
1,3,00:45,2,8
1,2,16:31,5,5
2,4,21:49,4,6
5,1,15:54,2,8
5,2,10:21,2,8
5,4,11:11,7,3
1,2,23:03,10,0
5,2,03:26,4,6
3,4,07:18,5,5
3,2,03:55,8,2
3,5,11:02,6,4
4,3,18:16,10,0
4,1,07:02,8,2
4,3,13:48,6,4
4,3,05:21,5,5
2,5,06:57,8,2
3,1,10:53,5,5
3,1,18:53,10,0
5,3,21:18,9,1
1,4,09:37,4,6
2,1,07:32,2,8
1,2,17:45,7,3
3,2,16:08,3,7
1,4,02:47,10,0
3,5,05:02,10,0
1,2,15:02,4,6
1,4,00:09,1,9
1,4,15:42,1,9
4,3,14:12,3,7
3,5,23:19,10,0
1,4,08:06,1,9
4,3,21:10,1,9
1,4,07:49,2,8
4,3,18:12,7,3
5,4,06:10,7,3
2,5,00:35,4,6
3,4,00:51,7,3
5,3,08:54,8,2
5,4,07:36,7,3
2,4,10:35,5,5
1,4,12:19,8,2
5,4,18:22,10,0
5,1,22:01,2,8
3,2,14:23,9,1
3,5,15:23,1,9
4,2,12:21,7,3
5,4,04:26,10,0
3,4,09:38,4,6
4,5,00:51,3,7
3,1,21:49,10,0
4,2,06:51,6,4
3,4,20:26,3,7
5,4,08:33,4,6
1,2,20:18,9,1
5,1,00:40,1,9
2,3,18:28,6,4
4,1,15:20,8,2
1,5,06:07,4,6
1,3,22:14,3,7
5,1,09:25,4,6
5,4,21:53,5,5
5,4,19:28,4,6
2,1,03:11,8,2
2,3,07:59,10,0
2,5,16:12,1,9
3,4,15:05,2,8
3,2,23:29,8,2
2,4,14:02,3,7
1,2,20:55,9,1
4,5,00:47,5,5
1,3,04:48,3,7
5,4,05:23,7,3
1,2,07:11,2,8
1,3,06:49,7,3
3,2,20:46,8,2
2,3,18:34,5,5
1,4,17:49,7,3
2,5,16:51,7,3
4,3,05:16,3,7
4,2,07:21,6,4
3,5,01:16,10,0
3,5,18:31,2,8
2,5,21:49,9,1
1,3,23:37,1,9
5,2,12:11,10,0
5,3,04:23,8,2
5,4,17:36,3,7
5,2,17:47,4,6
5,2,22:24,2,8
5,2,04:19,2,8
3,4,00:47,7,3
3,4,17:20,7,3
2,3,10:49,6,4
2,3,00:12,5,5
1,4,04:19,10,0
1,2,06:51,6,4
5,4,07:07,9,1
2,5,07:22,2,8
1,2,04:48,3,7
5,2,05:07,7,3
5,1,11:21,3,7
1,3,20:56,5,5
3,2,10:34,3,7
5,2,04:24,4,6
2,3,03:23,10,0
